"gene","HF_logFC","HF_dir","SAR_logFC","SAR_dir","in_module_HF","in_module_SAR","concordant","mean_absFC"
"LUM",1.2470992128645,"up",0.664069158113172,"up",FALSE,FALSE,TRUE,0.955584185488836
"SFRP1",1.03913058812955,"up",0.445185643102407,"up",TRUE,FALSE,TRUE,0.742158115615979
"MFAP4",0.897561166486778,"up",0.490801439248303,"up",FALSE,FALSE,TRUE,0.69418130286754
"MTFP1",-0.430300270343937,"down",-0.871939595725928,"down",TRUE,TRUE,TRUE,0.651119933034933
"DPT",0.805652585929377,"up",0.475784289202627,"up",FALSE,FALSE,TRUE,0.640718437566002
"MYH11",0.413492043062404,"up",0.867133570787571,"up",FALSE,FALSE,TRUE,0.640312806924987
"CCDC3",0.622064713219772,"up",0.599661127246799,"up",FALSE,FALSE,TRUE,0.610862920233285
"CXCL14",0.626354923711813,"up",0.571332272184355,"up",FALSE,FALSE,TRUE,0.598843597948084
"ATP1B4",0.51409259595368,"up",0.674777092131638,"up",TRUE,FALSE,TRUE,0.594434844042659
"HSPA2",0.647443875248675,"up",0.450451790969456,"up",TRUE,FALSE,TRUE,0.548947833109065
"PPM1K",0.581188084437999,"up",0.450333945106444,"up",FALSE,FALSE,TRUE,0.515761014772221
"XPO4",0.474666987907542,"up",0.553158842677652,"up",TRUE,FALSE,TRUE,0.513912915292597
"NAMPT",-0.566011476066167,"down",-0.449685909680142,"down",TRUE,FALSE,TRUE,0.507848692873154
"CA14",-0.523104597760299,"down",-0.449229487856178,"down",FALSE,TRUE,TRUE,0.486167042808239
"CCND1",0.526145006356318,"up",0.443020032635942,"up",TRUE,FALSE,TRUE,0.48458251949613
"PCOLCE2",0.471996730324459,"up",0.488930119178257,"up",FALSE,FALSE,TRUE,0.480463424751358
"EIF4EBP1",-0.411403661001951,"down",-0.505476439187825,"down",TRUE,TRUE,TRUE,0.458440050094888
"PITPNM1",-0.460433973403671,"down",-0.416312356769904,"down",TRUE,TRUE,TRUE,0.438373165086787
"FBLN1",0.380179234983799,"up",0.496461233462975,"up",FALSE,FALSE,TRUE,0.438320234223387
"CENPV",-0.459901780745462,"down",-0.409098480396736,"down",TRUE,FALSE,TRUE,0.434500130571099
"ABCA8",0.461003866160413,"up",0.403094216829897,"up",TRUE,FALSE,TRUE,0.432049041495155
"NUDT4",-0.452341340271932,"down",-0.398688925187058,"down",TRUE,TRUE,TRUE,0.425515132729495
"ERAP2",0.38403841661349,"up",0.454536555993215,"up",FALSE,FALSE,TRUE,0.419287486303352
"CYBRD1",0.38633824080822,"up",0.439374586604883,"up",FALSE,FALSE,TRUE,0.412856413706551
"HLA-DPA1",0.393909621771702,"up",0.430793829475327,"up",FALSE,FALSE,TRUE,0.412351725623515
"MAGED2",0.378397590850627,"up",0.421431934012926,"up",TRUE,FALSE,TRUE,0.399914762431776
"LYVE1",-1.41776972552162,"down",0.540197494195657,"up",FALSE,FALSE,FALSE,0.978983609858638
"FKBP5",-0.96214287490435,"down",0.885005283090187,"up",FALSE,TRUE,FALSE,0.923574078997269
"CDKN1A",-0.557354210334627,"down",1.28672806637298,"up",FALSE,FALSE,FALSE,0.922041138353804
"CYP4B1",-1.26598635775869,"down",0.548910854137159,"up",FALSE,FALSE,FALSE,0.907448605947925
"NPR3",0.843635596353788,"up",-0.860962091624359,"down",TRUE,FALSE,FALSE,0.852298843989074
"MGST1",-1.12321785629153,"down",0.572553381414037,"up",FALSE,FALSE,FALSE,0.847885618852783
"MT1X",-0.798847714425641,"down",0.892475534906175,"up",FALSE,TRUE,FALSE,0.845661624665908
"NNMT",-0.567138769462769,"down",1.1035282425621,"up",FALSE,FALSE,FALSE,0.835333506012435
"ANKRD2",-1.08431845049077,"down",0.526401011208113,"up",TRUE,FALSE,FALSE,0.805359730849441
"C1QB",-0.688769015590048,"down",0.826976753551657,"up",FALSE,FALSE,FALSE,0.757872884570852
"TIMP1",-0.788458570022373,"down",0.682840216405044,"up",FALSE,FALSE,FALSE,0.735649393213708
"ADH1B",-0.545219880140963,"down",0.902045623813853,"up",FALSE,FALSE,FALSE,0.723632751977408
"F13A1",-0.767560723620081,"down",0.582057478815849,"up",FALSE,FALSE,FALSE,0.674809101217965
"ALOX5AP",-0.955381521981858,"down",0.390565559270625,"up",FALSE,FALSE,FALSE,0.672973540626241
"MT1M",-0.766563190432717,"down",0.511083200700572,"up",FALSE,FALSE,FALSE,0.638823195566645
"SOCS2",0.389257013267252,"up",-0.886684634028361,"down",TRUE,FALSE,FALSE,0.637970823647806
"CEBPB",-0.560728620659692,"down",0.661899981779095,"up",FALSE,FALSE,FALSE,0.611314301219394
"CD14",-0.790107528778643,"down",0.414860954981883,"up",FALSE,FALSE,FALSE,0.602484241880263
"RXRG",0.592377881455917,"up",-0.600336662557043,"down",TRUE,TRUE,FALSE,0.59635727200648
"BCL6",-0.703111129374753,"down",0.474582940857658,"up",TRUE,FALSE,FALSE,0.588847035116206
"ADH1A",-0.454730688056438,"down",0.722373174364501,"up",FALSE,FALSE,FALSE,0.58855193121047
"MRC1",-0.613978821469324,"down",0.547925868274528,"up",FALSE,FALSE,FALSE,0.580952344871926
"C3",-0.596586156181607,"down",0.473819410795802,"up",FALSE,FALSE,FALSE,0.535202783488705
"GPCPD1",0.416005003354865,"up",-0.638502519487729,"down",TRUE,FALSE,FALSE,0.527253761421297
"ADAMTS5",-0.436740282933567,"down",0.596256887085629,"up",FALSE,FALSE,FALSE,0.516498585009598
"PCNT",-0.449599028577171,"down",0.562451945308208,"up",TRUE,TRUE,FALSE,0.506025486942689
"ABRA",-0.427139800260389,"down",0.580655361709196,"up",FALSE,FALSE,FALSE,0.503897580984793
"ANGPTL4",-0.529811843922769,"down",0.453239476916783,"up",FALSE,FALSE,FALSE,0.491525660419776
"SAT1",-0.499842074735998,"down",0.461040276300277,"up",FALSE,FALSE,FALSE,0.480441175518137
"IFITM3",-0.471044748936965,"down",0.482293964529877,"up",FALSE,FALSE,FALSE,0.476669356733421
"GNPNAT1",-0.40654723537079,"down",0.508740339051329,"up",FALSE,FALSE,FALSE,0.45764378721106
"AMOT",0.409237604373441,"up",-0.494296847931761,"down",FALSE,TRUE,FALSE,0.451767226152601
"RNF122",-0.473367060165311,"down",0.414711764219862,"up",FALSE,FALSE,FALSE,0.444039412192586
