"from","to","combined_score"
"TIMP1","CCND1",465
"SFRP1","CCND1",567
"C3","F13A1",418
"LYVE1","F13A1",542
"TIMP1","LUM",659
"C3","LUM",540
"TIMP1","ADAMTS5",731
"TIMP1","ANGPTL4",504
"NAMPT","CEBPB",408
"CCND1","CEBPB",621
"ADH1A","ADH1B",989
"TIMP1","C1QB",507
"C3","C1QB",483
"LYVE1","C1QB",458
"F13A1","C1QB",529
"SFRP1","FBLN1",467
"LUM","FBLN1",620
"ADAMTS5","FBLN1",648
"CCND1","EIF4EBP1",592
"LUM","DPT",803
"FBLN1","DPT",499
"MT1M","MT1X",866
"TIMP1","MFAP4",551
"LUM","MFAP4",732
"FBLN1","MFAP4",834
"DPT","MFAP4",637
"ADH1A","MGST1",736
"ADH1B","MGST1",701
"LYVE1","MYH11",401
"NAMPT","IFITM3",409
"CCND1","BCL6",870
"CEBPB","BCL6",499
"TIMP1","CDKN1A",426
"CCND1","CDKN1A",999
"CEBPB","CDKN1A",500
"ANKRD2","CDKN1A",409
"BCL6","CDKN1A",636
"C1QB","CD14",583
"TIMP1","HLA-DPA1",438
"C1QB","HLA-DPA1",476
"NAMPT","NNMT",966
"HSPA2","FKBP5",608
"TIMP1","MRC1",536
"C3","MRC1",520
"LYVE1","MRC1",761
"F13A1","MRC1",502
"C1QB","MRC1",531
"ADH1B","ABCA8",514
"MFAP4","ABCA8",501
"F13A1","ALOX5AP",423
"MGST1","ALOX5AP",894
