"gene","LASSO","RF","SVM-RFE","Boruta","XGBoost","glmBoost","vote"
"LUM",1,1,1,1,1,1,6
"SFRP1",1,1,1,1,1,1,6
"CCND1",1,1,1,1,1,1,6
"EIF4EBP1",1,1,1,1,1,1,6
"PITPNM1",1,1,1,1,1,1,6
"NUDT4",1,1,1,1,1,1,6
"MAGED2",1,1,1,1,1,1,6
"DPT",1,1,1,1,1,0,5
"XPO4",1,1,0,1,1,0,4
"PCOLCE2",1,1,0,1,1,0,4
"ABCA8",1,0,1,1,1,0,4
"ERAP2",1,0,0,1,1,1,4
"MFAP4",0,1,0,1,1,0,3
"MTFP1",0,1,0,1,1,0,3
"HSPA2",1,0,1,1,0,0,3
"PPM1K",1,0,0,1,1,0,3
"NAMPT",0,1,0,1,1,0,3
"FBLN1",0,0,1,1,1,0,3
"CENPV",0,0,1,1,1,0,3
"CYBRD1",0,0,1,1,1,0,3
"MYH11",0,0,0,1,1,0,2
"CCDC3",0,0,0,1,1,0,2
"CXCL14",0,0,0,1,1,0,2
"ATP1B4",0,0,0,1,1,0,2
"CA14",0,0,0,1,1,0,2
"HLA-DPA1",1,0,0,0,1,0,2
