"drug","adjp","hub_target"
"Arsenenous",5.10418811989864e-05,"CCND1"
"Arsenenous",5.10418811989864e-05,"NAMPT"
"Arsenenous",5.10418811989864e-05,"EIF4EBP1"
"progesterone",5.10418811989864e-05,"CENPV"
"progesterone",5.10418811989864e-05,"FBLN1"
"progesterone",5.10418811989864e-05,"CCND1"
"progesterone",5.10418811989864e-05,"NAMPT"
"Retinoic",5.10418811989864e-05,"NUDT4"
"Retinoic",5.10418811989864e-05,"CCND1"
"Retinoic",5.10418811989864e-05,"NAMPT"
"Retinoic",5.10418811989864e-05,"EIF4EBP1"
"Retinoic",5.10418811989864e-05,"CENPV"
"folic",0.000328569646868761,"CCND1"
"Medroxyprogesterone",0.000337222155786751,"CCND1"
"Medroxyprogesterone",0.000337222155786751,"FBLN1"
"1-chloro-2,4-dinitrobenzene",0.000707391281512772,"NAMPT"
"mifepristone",0.000707391281512772,"CCND1"
"mifepristone",0.000707391281512772,"FBLN1"
"NICKEL",0.000707391281512772,"NAMPT"
"Tetradioxin",0.000718495126372661,"PPM1K"
"Tetradioxin",0.000718495126372661,"CCND1"
"Tetradioxin",0.000718495126372661,"NAMPT"
"Tetradioxin",0.000718495126372661,"CENPV"
"Tetradioxin",0.000718495126372661,"PITPNM1"
"estradiol",0.000806480616054763,"FBLN1"
"estradiol",0.000806480616054763,"PPM1K"
"estradiol",0.000806480616054763,"CCND1"
"estradiol",0.000806480616054763,"NAMPT"
"estradiol",0.000806480616054763,"EIF4EBP1"
"estradiol",0.000806480616054763,"CENPV"
